"","StateLabel","childBearingYear","byear","Married","Age","Sex","ChildrenNum","Educ","LiveParents","Employment","WomenSameRightMen","MenJobs","FinacialSatisfaction","HousewifeFulfilling","menBeterLeader","UniversityBoy","preSchoolMother","womenJobIndependen","womenEarnMore","menBetterExec","State","StateCode","townSize","sexratio","rural_male","rural_female","urban_male","urban_female","sexRatioRural","sexRatioUrban","childSexRatio2011","childSexRatio2001"
"65","AP",2004,1984,6,28,1,0,8,1,1,10,3,8,1,2,3,4,3,3,4,"Andhra Pradesh",28,3,1.06379060970182,519134,489249,245774,229791,1.06108341560228,1.06955450822704,1.06044538706257,1.04058272632674
"66","AP",1970,1950,1,62,1,3,1,0,4,10,2,9,1,3,3,2,2,1,1,"Andhra Pradesh",28,3,1.14054138307269,248216,220305,168872,145388,1.12669253988788,1.16152639832723,1.06044538706257,1.04058272632674
"67","AP",1992,1972,1,40,2,2,-3,0,5,1,1,10,1,3,3,2,3,3,1,"Andhra Pradesh",28,3,1.02092447987551,507071,477102,261825,276035,1.06281466017749,0.948521020885033,1.06044538706257,1.04058272632674
"68","AP",2008,1988,1,25,1,0,-3,0,3,10,3,2,4,3,4,3,2,1,4,"Andhra Pradesh",28,3,1.05073451367316,456542,436517,219592,206970,1.04587450202398,1.06098468377059,1.06044538706257,1.04058272632674
"69","AP",1988,1968,1,40,2,4,-3,0,1,5,-1,4,-1,-1,-1,-1,-1,-1,-1,"Andhra Pradesh",28,4,1.05838748733661,471114,421185,257064,266822,1.11854410769614,0.963428802722414,1.06044538706257,1.04058272632674
"70","AP",1983,1963,1,55,2,5,-3,0,5,5,-1,5,-1,2,-1,2,2,1,-1,"Andhra Pradesh",28,4,0.920170801522218,501132,550426,279390,297810,0.910443910716427,0.938148483932709,1.06044538706257,1.04058272632674
"71","AP",2001,1981,1,32,2,3,4,0,1,5,1,8,2,1,2,1,1,1,2,"Andhra Pradesh",28,4,1.06879486086985,618712,579864,294368,274444,1.06699501952182,1.07259768841731,1.06044538706257,1.04058272632674
"72","AP",1960,1940,1,72,1,6,1,0,4,5,3,7,2,1,3,1,-1,-1,2,"Andhra Pradesh",28,4,1.13860751976653,162987,147730,105442,88022,1.10327624720774,1.19790506918725,1.06044538706257,1.04058272632674
"73","AP",1994,1974,1,38,2,2,3,0,8,8,1,8,2,1,3,1,1,1,1,"Andhra Pradesh",28,8,1.13993773344485,510581,432256,270412,252863,1.18120049230086,1.06940121725994,1.06044538706257,1.04058272632674
"74","AP",1982,1962,1,50,1,2,8,1,1,7,2,8,1,3,3,3,3,3,3,"Andhra Pradesh",28,-2,0.985104762034908,346214,355942,230488,229480,0.972669704614797,1.00439253965487,1.06044538706257,1.04058272632674
"75","AP",1991,1971,1,42,1,1,7,1,1,10,1,10,1,3,3,1,1,1,1,"Andhra Pradesh",28,4,0.922698775962494,724575,764356,321269,369106,0.947954879663403,0.870397663543806,1.06044538706257,1.04058272632674
"76","AP",2000,1980,1,32,1,2,6,0,1,5,2,5,1,4,4,1,1,1,1,"Andhra Pradesh",28,3,1.04083742636791,531833,510562,263474,253541,1.04166193332054,1.03917709561767,1.06044538706257,1.04058272632674
"77","AP",2010,1990,1,22,2,1,5,0,5,6,1,6,1,1,-1,1,1,-1,-1,"Andhra Pradesh",28,4,1.06636903346816,427167,401198,223236,208725,1.06472863773,1.0695220984549,1.06044538706257,1.04058272632674
"78","AP",1998,1978,1,34,1,2,4,1,1,5,1,4,1,-1,4,4,1,-1,-1,"Andhra Pradesh",28,4,1.04263023184818,552120,527710,257302,248617,1.04625646661992,1.03493325074311,1.06044538706257,1.04058272632674
"79","AP",1977,1957,1,56,1,3,4,0,4,7,1,7,1,4,3,4,1,3,4,"Andhra Pradesh",28,3,0.992729150939648,321008,330958,203698,197591,0.969935762241735,1.0309072781655,1.06044538706257,1.04058272632674
"80","AP",1990,1970,1,43,1,3,4,0,1,5,1,7,1,-1,3,1,1,1,4,"Andhra Pradesh",28,3,1.04518593876939,459819,412689,254205,270466,1.11420222007371,0.939877840467933,1.06044538706257,1.04058272632674
"81","AP",1985,1965,1,47,2,3,-3,0,1,5,-1,5,2,-1,-1,-1,-1,-1,4,"Andhra Pradesh",28,2,0.98766571538446,467285,460748,264679,280357,1.01418779897037,0.944078442842519,1.06044538706257,1.04058272632674
"82","AP",1995,1975,1,37,2,3,-3,0,5,5,-1,6,-1,-1,-1,-1,-1,-1,-1,"Andhra Pradesh",28,3,1.09555383304238,544177,487688,279823,264443,1.11583020291662,1.05815998154612,1.06044538706257,1.04058272632674
"83","AP",1998,1978,1,34,2,4,4,0,5,10,1,8,2,3,4,2,1,3,2,"Andhra Pradesh",28,2,1.04263023184818,552120,527710,257302,248617,1.04625646661992,1.03493325074311,1.06044538706257,1.04058272632674
